Code	Description	LongDescription	InternalDescription	FeeCalcPreference	NonICIS	QualifierCode	GroupCode	Status	CreatedBy	CreatedDate	UpdatedBy	UpdatedDate
1D	12MO AVG	12 Month Average	NULL	NULL	NULL	NULL	AVG	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
1I	1 HR AVG	1 Hour Average	NULL	NULL	NULL	NULL	AVG	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
3A	30DA GM	30 Day Geometric Mean	NULL	NULL	NULL	NULL	AVGMON	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
3B	30DA ARI	30 Day Arithmetic	NULL	12	NULL	NULL	AVGMON	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
3C	30DA AVG	30 Day Average	NULL	10	NULL	NULL	AVGMON	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
3D	30DA GEO	30 Day Geometric	NULL	NULL	NULL	NULL	AVGMON	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
3E	30DA MAX	30 Day Maximum	NULL	70	NULL	NULL	MAXMON	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
3H	30DAVGEO	30 Day Average Geometric	NULL	NULL	NULL	NULL	AVGMON	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
6D	6 MO AVG	6 Month Average	NULL	51	NULL	NULL	AVG	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
7A	7 DA AVG	7 Day Average	NULL	31	NULL	NULL	AVGWK	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
7B	7 DA GEO	7 Day Geometric	NULL	NULL	NULL	NULL	AVGWK	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
7D	7 DA MIN	7 Day Minimum	NULL	NULL	NULL	>=	MIN	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
7E	7 DA MAX	7 Day Maximum	NULL	91	NULL	NULL	MAX	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
7I	7DAV GEO	7-Day Average Geometric	NULL	NULL	NULL	NULL	AVGWK	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
9B	90DA AVG	90 Day Average	NULL	21	NULL	NULL	VAL	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
A1	AVERAGE 	Average (Data Migration)	NULL	61	NULL	NULL	AVG	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
AA	ALLWLOAD	Allowed Load	NULL	NULL	NULL	NULL	MAXMON	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
AB	ANNL AVG	Annual Average	NULL	60	NULL	<=	AVGMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
AC	ANNL MAX	Annual Maximum	NULL	120	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
AD	ANNL TOT	Annual Total	NULL	NULL	NULL	NULL	VAL	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
AE	ARI MEAN	Arithmetic Mean	NULL	64	NULL	NULL	VAL	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
AF	AVERAGE	Average	NULL	62	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
AGM	AN GEOMEAN	Annual Geometric Mean	NULL	NULL	NULL	NULL	AVG	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
AH	AV VALUE	Average Value	NULL	NULL	NULL	NULL	VAL	A	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
AL	AN MS LD	Annual Mass Loading	NULL	NULL	NULL	NULL	VAL	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
AM	AN AV MN	Annual Average Minimum	NULL	NULL	NULL	>=	MIN	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
AN	ANNL MEDN	Annual Median	NULL	NULL	NULL	NULL	AVG	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
AX	AN AV MX	Annual Average Maximum	NULL	121	NULL	<=	MAX	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
BB	AVG MN	Average (Minimum)	NULL	NULL	NULL	>=	MIN	A	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
BF	CUM TOTL	Cumulative Total	NULL	NULL	NULL	NULL	MAX	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
CA	ALLWCONC	Allowed Concentration	NULL	NULL	NULL	NULL	VAL	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
DA	DA GEOAV	Daily Geometric Average	NULL	NULL	NULL	NULL	AVGMON	A	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
DB	DAILY AV	Daily Average	NULL	40	NULL	NULL	MAX	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
DC	DAILY MN	Daily Minimum	NULL	NULL	NULL	>=	MINDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
DD	DAILY MX	Daily Maximum	NULL	100	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
DM	DA GEO	Daily Geometric	NULL	NULL	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
DN	DISCHARG	Discharged	NULL	NULL	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
